ID_Cliente;N01_Zona;N02_País;N03_Tipodeproducto;N04_Canaldeventa;N05_Prioridad;N06_Fechapedido;ID_Pedido;N07_Fechaenvío;N08_Unidades;N09_PrecioUnitario;N10_Costeunitario;N11_Importeventatotal;N12_ImporteCostetotal
C8199;Asia;Sri Lanka;Cuidado personal;Offline;Media;28/07/2020;819947707;05/09/2020;9602;82;57;784771;544145
C4645;África;The Gambia;Cosméticos;Online;Crítica;08/06/2021;464588487;25/07/2021;912;437;263;398726;240157
C1390;Asia;Myanmar;Snacks;Offline;Media;26/07/2021;139070880;04/08/2021;3019;153;97;460639;294171
C4168;Asia;Bhutan;Ropa;Online;Crítica;15/10/2021;416881215;21/10/2021;3270;109;36;357346;117197
C1418;África;Mali;Verduras;Online;Crítica;23/11/2021;141818320;29/11/2021;6047;154;91;931601;549854
C4779;África;Burundi;Cuidado personal;Online;Alta;31/01/2022;477993524;12/03/2022;7761;82;57;634307;439816
C8598;África;Libya;Ropa;Offline;Alta;11/07/2021;859830653;05/08/2021;1852;109;36;202387;66376
C3420;África;Nigeria;Ropa;Offline;Crítica;26/08/2022;342066037;11/10/2022;3797;109;36;414936;136084
C7497;Europa;Norway;Doméstico;Online;Crítica;21/02/2021;749748504;16/03/2021;6098;668;503;4075110;3064489
C8282;África;Kenya;Cosméticos;Offline;Media;30/08/2021;828239381;08/10/2021;3293;437;263;1439700;867146
C2932;Australia y Oceanía;Papua New Guinea;Verduras;Online;Alta;19/02/2022;293212497;09/03/2022;6948;154;91;1070409;631782
C2806;Asia;North Korea;Cuidado personal;Offline;Baja;17/11/2020;280654180;02/01/2021;663;82;57;54187;37572
C1968;Europa;Montenegro;Ropa;Offline;Media;25/11/2020;196863257;09/01/2021;5067;109;36;553722;181601
C8684;Europa;Norway;Frutas;Offline;Alta;06/10/2022;868451058;08/10/2022;2822;9;7;26329;19528
C4923;África;Lesotho;Ropa;Offline;Baja;07/04/2020;492341411;24/05/2020;3619;109;36;395484;129705
C4857;Asia;Indonesia;Cárnicos;Online;Alta;02/12/2021;485770642;15/12/2021;9183;422;365;3874216;3348948
C5362;África;Iraq;Bebida;Online;Alta;28/11/2020;536287581;28/12/2020;8268;47;32;392317;262840
C8517;Asia;Singapore;Cereales;Online;Crítica;03/04/2022;851753556;12/05/2022;1660;206;117;341462;194403
C8103;Asia;South Korea;Verduras;Online;Media;15/05/2021;810342395;31/05/2021;7177;154;91;1105689;652605
C3105;África;Lebanon;Doméstico;Online;Baja;26/08/2022;310540425;01/09/2022;4668;668;503;3119484;2345857
C2211;Asia;Myanmar;Frutas;Online;Alta;23/11/2020;221146476;31/12/2020;1011;9;7;9433;6996
C1312;Asia;Vietnam;Ropa;Online;Alta;23/09/2022;131271874;27/09/2022;5120;109;36;559514;183501
C6003;África;Jordan;Frutas;Online;Baja;25/04/2022;600340449;02/06/2022;2935;9;7;27384;20310
C9080;Australia y Oceanía;Palau;Material de oficina;Offline;Baja;20/10/2022;908088529;22/11/2022;2430;651;525;1582440;1275653
C4045;Centroamérica y Caribe;Antigua and Barbuda ;Cereales;Offline;Crítica;04/08/2020;404564940;28/08/2020;8611;206;117;1771283;1008434
C7601;Australia y Oceanía;Papua New Guinea;Cuidado personal;Offline;Baja;21/01/2021;760131013;28/01/2021;8513;82;57;695767;482432
C1154;Centroamérica y Caribe;El Salvador;Ropa;Offline;Media;02/11/2022;115460574;19/11/2022;6205;109;36;678082;222387
C7315;África;Republic of the Congo;Bebida;Offline;Baja;08/02/2022;731539952;09/02/2022;7783;47;32;369303;247422
C4396;Australia y Oceanía;Vanuatu;Cárnicos;Online;Crítica;03/08/2022;439667975;21/09/2022;6379;422;365;2691236;2326358
C2914;Asia;Bangladesh;Ropa;Offline;Baja;11/09/2022;291455972;16/09/2022;7154;109;36;781789;256399
C5088;África;Burundi;Cereales;Offline;Baja;01/09/2022;508827769;13/09/2022;2299;206;117;472904;269236
C9340;África;South Sudan;Verduras;Online;Media;17/04/2020;934019696;07/05/2020;6039;154;91;930368;549126
C5795;África;Mozambique;Bebida;Online;Baja;25/11/2020;579580581;12/12/2020;9628;47;32;456849;306074
C7783;Centroamérica y Caribe;Saint Kitts and Nevis ;Cárnicos;Online;Crítica;27/08/2021;778371751;03/09/2021;6353;422;365;2680267;2316876
C2335;África;Rwanda;Verduras;Offline;Media;16/07/2021;233567035;17/08/2021;6531;154;91;1006166;593864
C8686;África;Rwanda;Bebida;Online;Alta;24/10/2022;868652760;08/12/2022;2510;47;32;119100;79793
C1774;Europa;Moldova ;Verduras;Offline;Baja;23/12/2020;177427756;31/01/2021;3671;154;91;565554;333804
C6740;Europa;Austria;Cereales;Offline;Baja;10/07/2020;674003350;30/07/2020;1424;206;117;292917;166765
C4428;Europa;Spain;Ropa;Offline;Baja;16/01/2022;442803370;18/02/2022;4212;109;36;460287;150958
C7885;Asia;China;Alimento infantil;Online;Crítica;27/10/2020;788564145;01/12/2020;2509;255;159;640498;399985
C3863;África;Qatar;Cosméticos;Online;Media;21/07/2022;386334502;11/08/2022;3819;437;263;1669667;1005657
C2314;Europa;Georgia;Cuidado personal;Online;Crítica;22/11/2021;231475770;23/11/2021;7679;82;57;627605;435169
C4896;Asia;Kazakhstan;Doméstico;Online;Media;18/01/2021;489661777;11/02/2021;656;668;503;438385;329666
C9468;África;Namibia;Cuidado personal;Offline;Baja;18/08/2022;946878850;05/10/2022;1348;82;57;110172;76391
C5594;Centroamérica y Caribe;Jamaica;Cárnicos;Offline;Baja;01/07/2022;559425818;23/07/2022;5386;422;365;2272300;1964220
C6039;África;Syria;Verduras;Offline;Media;22/08/2022;603914010;01/09/2022;431;154;91;66400;39191
C6272;África;Tanzania;Frutas;Offline;Crítica;24/02/2021;627267253;08/03/2021;1174;9;7;10953;8124
C6967;África;Angola;Alimento infantil;Online;Alta;01/04/2022;696721875;12/05/2022;4340;255;159;1107915;691883
C9498;Asia;China;Cuidado personal;Offline;Baja;18/07/2020;949826705;06/09/2020;3684;82;57;301093;208772
C2444;Europa;Hungary;Cuidado personal;Offline;Baja;30/06/2022;244443070;03/07/2022;4991;82;57;407914;282840
C2087;Europa;Norway;Doméstico;Offline;Alta;29/01/2022;208744800;03/02/2022;1080;668;503;721732;542743
C2912;Australia y Oceanía;Australia;Cárnicos;Offline;Crítica;09/04/2022;291218221;02/05/2022;6798;422;365;2868008;2479163
C9106;África;Nigeria;Doméstico;Offline;Media;22/02/2022;910662162;05/03/2022;4025;668;503;2689787;2022724
C3061;Asia;Thailand;Material de oficina;Online;Media;09/03/2021;306187951;17/04/2021;6674;651;525;4346176;3503583
C3872;Asia;Taiwan;Frutas;Offline;Alta;16/09/2020;387219417;27/09/2020;5685;9;7;53041;39340
C8834;Asia;India;Verduras;Online;Baja;05/06/2022;883492887;05/06/2022;4033;154;91;621324;366721
C6950;Europa;Romania;Bebida;Offline;Baja;24/04/2021;695057189;08/05/2021;1723;47;32;81756;54774
C1422;Australia y Oceanía;East Timor;Cosméticos;Online;Baja;23/04/2021;142273652;16/05/2021;790;437;263;345388;208031
C5158;Europa;Bosnia and Herzegovina;Cereales;Online;Baja;28/06/2022;515816104;06/08/2022;303;206;117;62327;35484
C9266;Europa;Ireland;Cuidado personal;Offline;Baja;14/06/2022;926670873;17/07/2022;1359;82;57;111071;77015
C5561;Europa;Croatia;Doméstico;Online;Baja;19/08/2020;556136786;05/09/2020;2089;668;503;1396016;1049806
C9058;África;Iraq;Alimento infantil;Online;Baja;06/08/2022;905825173;22/08/2022;2653;255;159;677258;422941
C8476;Europa;Malta;Material de oficina;Online;Crítica;07/06/2021;847659862;22/07/2021;245;651;525;159546;128615
C6738;Europa;Ireland;Cárnicos;Offline;Baja;26/01/2022;673877179;21/02/2022;4087;422;365;1724264;1490488
C7470;África;Madagascar;Alimento infantil;Online;Baja;14/09/2022;747025954;12/10/2022;435;255;159;111047;69348
C1499;Europa;Austria;Cosméticos;Online;Media;01/12/2021;149967515;27/12/2021;7575;437;263;3311790;1994725
C7358;África;Sierra Leone;Cuidado personal;Offline;Crítica;17/02/2020;735875689;25/03/2020;824;82;57;67346;46696
C3782;Europa;Netherlands;Material de oficina;Online;Crítica;09/01/2021;378236806;18/02/2021;7531;651;525;4904263;3953474
C6208;Europa;Croatia;Cosméticos;Offline;Alta;15/07/2021;620849692;18/07/2021;2075;437;263;907190;546410
C8278;Centroamérica y Caribe;Trinidad and Tobago;Snacks;Offline;Baja;11/11/2021;827825677;19/11/2021;869;153;97;132592;84675
C4335;Asia;South Korea;Doméstico;Offline;Crítica;05/03/2021;433588588;28/03/2021;7353;668;503;4913789;3695177
C2928;Australia y Oceanía;Samoa ;Cárnicos;Offline;Alta;24/11/2021;292874753;25/12/2021;7003;422;365;2954496;2553924
C4307;Europa;Albania;Material de oficina;Offline;Baja;31/07/2022;430733001;02/08/2022;2322;651;525;1512110;1218957
C4925;África;Cape Verde;Frutas;Online;Media;03/03/2022;492524659;25/03/2022;7846;9;7;73203;54294
C1939;Europa;Italy;Bebida;Online;Baja;09/06/2021;193923556;20/06/2021;5145;47;32;244130;163560
C6709;Europa;Hungary;Bebida;Offline;Baja;26/07/2021;670916020;02/08/2021;7815;47;32;370822;248439
C4298;Asia;Maldives;Alimento infantil;Offline;Crítica;17/09/2022;429800879;19/10/2022;6486;255;159;1655746;1033998
C2971;África;Mali;Doméstico;Offline;Alta;25/07/2022;297189462;19/08/2022;3821;668;503;2553460;1920205
C2700;África;Yemen;Cuidado personal;Online;Media;26/08/2020;270005595;04/09/2020;9511;82;57;777334;538988
C8654;Asia;North Korea;Snacks;Offline;Baja;15/08/2022;865485608;10/09/2022;5279;153;97;805470;514386
C8711;Asia;Uzbekistan;Cereales;Offline;Alta;28/08/2021;871178328;28/08/2021;9882;206;117;2032727;1157281
C4949;Europa;Latvia;Verduras;Online;Baja;12/10/2022;494945085;06/11/2022;4104;154;91;632262;373177
C9149;Asia;Singapore;Snacks;Offline;Crítica;29/05/2021;914959704;24/06/2021;5764;153;97;879471;561644
C2297;Europa;Lithuania;Doméstico;Online;Baja;07/12/2021;229708516;23/01/2022;4709;668;503;3146883;2366461
C2079;África;Senegal;Bebida;Offline;Alta;04/01/2022;207990348;20/01/2022;7821;47;32;371106;248630
C4389;África;South Sudan;Verduras;Offline;Crítica;20/07/2022;438916528;18/08/2022;4009;154;91;617627;364538
C5819;Europa;Bulgaria;Alimento infantil;Online;Alta;30/07/2020;581910884;16/08/2020;9217;255;159;2352916;1469374
C8167;África;Seychelles ;Cárnicos;Offline;Alta;04/02/2022;816709744;01/03/2022;1417;422;365;597818;516766
C4933;Centroamérica y Caribe;Saint Kitts and Nevis ;Doméstico;Online;Alta;24/08/2020;493361937;29/09/2020;5616;668;503;3753004;2822265
C3822;Centroamérica y Caribe;Saint Vincent and the Grenadines;Alimento infantil;Offline;Alta;10/08/2021;382228791;26/09/2021;8848;255;159;2258717;1410548
C4239;Europa;Andorra;Cosméticos;Offline;Baja;02/10/2020;423984134;14/11/2020;5182;437;263;2265570;1364576
C1796;África;Mali;Cárnicos;Offline;Crítica;03/11/2022;179614293;23/11/2022;716;422;365;302073;261118
C1804;África;Togo;Cuidado personal;Offline;Media;26/02/2020;180418097;15/03/2020;8579;82;57;701162;486172
C5780;Asia;Thailand;Cárnicos;Offline;Alta;17/07/2022;578006875;21/08/2022;3934;422;365;1659715;1434690
C6943;Europa;Moldova ;Doméstico;Online;Alta;01/09/2021;694304454;09/09/2021;8972;668;503;5995718;4508789
C3715;Centroamérica y Caribe;Trinidad and Tobago;Alimento infantil;Online;Alta;14/01/2021;371547162;23/02/2021;7917;255;159;2021052;1262128
C4222;Asia;Japan;Bebida;Online;Media;06/04/2020;422283828;26/04/2020;2024;47;32;96039;64343
C3793;África;Central African Republic;Cereales;Offline;Crítica;23/03/2022;379375779;23/03/2022;4578;206;117;941695;536130
C7459;África;Azerbaijan;Cuidado personal;Online;Baja;11/03/2020;745996844;03/04/2020;5899;82;57;482125;334296
C7456;África;Mauritania;Frutas;Offline;Baja;20/02/2022;745633351;03/04/2022;8333;9;7;77747;57664
C5720;Europa;Portugal;Snacks;Offline;Media;16/09/2020;572084128;05/11/2020;1261;153;97;192403;122872
C9394;África;Liberia;Bebida;Online;Baja;22/05/2020;939460504;24/05/2020;6095;47;32;289208;193760
C8321;África;South Sudan;Frutas;Online;Alta;12/10/2021;832186305;26/11/2021;1276;9;7;11905;8830
C6549;África;Cameroon;Frutas;Online;Baja;28/02/2020;654997861;02/04/2020;7277;9;7;67894;50357
C8829;Centroamérica y Caribe;Cuba;Cárnicos;Online;Baja;23/03/2021;882943999;07/04/2021;1605;422;365;677133;585327
C7113;África;Malawi;Frutas;Online;Baja;27/06/2022;711386048;15/08/2022;3795;9;7;35407;26261
C3059;Australia y Oceanía;Tuvalu;Bebida;Offline;Baja;09/06/2020;305997836;10/07/2020;415;47;32;19692;13193
C3527;África;Burundi;Cárnicos;Offline;Alta;19/07/2020;352765691;11/08/2020;62;422;365;26157;22611
C7079;África;Liberia;Verduras;Online;Crítica;15/07/2021;707988440;08/08/2021;8367;154;91;1289020;760811
C8482;Asia;Turkmenistan;Verduras;Offline;Media;13/07/2022;848277413;29/08/2022;2992;154;91;460948;272063
C3205;África;Uganda;Doméstico;Online;Media;16/08/2021;320556437;25/09/2021;8628;668;503;5765834;4335915
C9920;África;Lebanon;Alimento infantil;Online;Alta;06/03/2020;992061841;24/03/2020;1999;255;159;510305;318681
C3003;Europa;Switzerland;Material de oficina;Online;Media;20/05/2021;300342452;24/06/2021;6861;651;525;4467952;3601751
C7032;África;Kuwait;Verduras;Online;Alta;02/04/2020;703259599;05/04/2020;8998;154;91;1386232;818188
C2289;Asia;India;Ropa;Offline;Alta;17/03/2022;228987109;14/04/2022;1229;109;36;134305;44047
C1260;África;Angola;Cereales;Online;Crítica;22/08/2021;126011312;18/09/2021;8402;206;117;1728291;983958
C8131;Asia;Uzbekistan;Bebida;Offline;Crítica;28/06/2020;813131034;01/07/2020;2397;47;32;113738;76201
C5294;Europa;Latvia;Cuidado personal;Offline;Crítica;05/02/2021;529457604;05/03/2021;7126;82;57;582408;403830
C2844;África;Ghana;Cárnicos;Offline;Media;02/12/2021;284414851;07/12/2021;3530;422;365;1489272;1287356
C7077;Europa;Poland;Bebida;Online;Crítica;22/10/2021;707739102;28/10/2021;4583;47;32;217463;145694
C6994;Asia;Mongolia;Cosméticos;Online;Baja;15/06/2021;699479186;25/07/2021;290;437;263;126788;76366
C5799;Asia;Vietnam;Cereales;Online;Crítica;13/12/2021;579996430;09/01/2022;2687;206;117;552716;314675
C7399;Europa;United Kingdom;Cereales;Online;Baja;29/06/2020;739964663;27/07/2020;842;206;117;173199;98607
C2903;Australia y Oceanía;Vanuatu;Ropa;Offline;Baja;31/05/2020;290370213;15/06/2020;5854;109;36;639725;209807
C2125;África;Ethiopia;Frutas;Online;Baja;22/02/2021;212511909;22/02/2021;5851;9;7;54590;40489
C2080;África;Niger;Frutas;Online;Crítica;13/07/2022;208001077;22/07/2022;996;9;7;9293;6892
C9487;África;Central African Republic;Cuidado personal;Offline;Alta;09/07/2020;948761546;13/07/2020;8480;82;57;693070;480562
C9270;África;Cape Verde;Snacks;Offline;Crítica;18/01/2020;927029645;29/01/2020;7527;153;97;1148470;733431
C5053;Norteamérica;United States of America;Cuidado personal;Offline;Crítica;26/02/2022;505354201;12/04/2022;4393;82;57;359040;248951
C5665;África;Sudan;Frutas;Offline;Crítica;30/07/2022;566596543;01/09/2022;7363;9;7;68697;50952
C2639;África;Republic of the Congo;Material de oficina;Offline;Crítica;24/09/2021;263930499;05/11/2021;1755;651;525;1142874;921305
C1708;Australia y Oceanía;Federated States of Micronesia;Frutas;Online;Crítica;10/06/2020;170842397;10/06/2020;4917;9;7;45876;34026
C9311;África;South Sudan;Frutas;Offline;Baja;10/05/2021;931131064;07/06/2021;1229;9;7;11467;8505
C1089;África;Cape Verde;Frutas;Online;Media;27/10/2021;108907830;31/10/2021;7102;9;7;66262;49146
C7385;Australia y Oceanía;Palau;Doméstico;Offline;Alta;31/12/2020;738596522;18/02/2021;5979;668;503;3995586;3004687
C9749;África;Bahrain;Material de oficina;Offline;Baja;29/04/2021;974933469;12/06/2021;3333;651;525;2170483;1749692
C8429;África;Algeria;Material de oficina;Offline;Media;04/05/2021;842967498;14/05/2021;1670;651;525;1087521;876683
C8880;África;Botswana;Cuidado personal;Online;Crítica;07/11/2022;888059937;10/12/2022;5525;82;57;451558;313102
C8258;África;Seychelles ;Doméstico;Offline;Media;01/12/2020;825884616;03/01/2021;6466;668;503;4321034;3249424
C8924;África;The Gambia;Material de oficina;Online;Alta;08/06/2022;892427861;25/07/2022;8091;651;525;5268940;4247451
C4939;África;Guinea-Bissau;Material de oficina;Online;Baja;02/11/2021;493988502;21/12/2021;1030;651;525;670746;540709
C4571;África;Pakistan;Verduras;Offline;Baja;17/07/2022;457177865;11/08/2022;7945;154;91;1224007;722439
C7789;África;Mauritania;Cárnicos;Online;Media;19/03/2021;778919780;20/03/2021;8527;422;365;3597456;3109712
C1764;Asia;Thailand;Material de oficina;Online;Alta;22/08/2020;176450574;08/09/2020;4501;651;525;2931096;2362845
C1373;África;Afghanistan;Cárnicos;Offline;Media;01/08/2022;137319076;20/09/2022;4621;422;365;1949554;1685232
C8693;África;The Gambia;Ropa;Online;Baja;17/08/2020;869386613;25/09/2020;9673;109;36;1057065;346680
C8508;África;Oman;Cárnicos;Offline;Baja;16/08/2021;850827014;29/08/2021;7476;422;365;3154050;2726422
C8801;África;Burkina Faso;Snacks;Offline;Alta;24/05/2021;880126607;07/06/2021;7876;153;97;1201720;767437
C9260;África;Cameroon;Ropa;Offline;Media;12/06/2020;926084220;05/07/2020;7755;109;36;847466;277939
C5778;África;Burkina Faso;Cereales;Online;Alta;21/07/2022;577811181;23/08/2022;6024;206;117;1239137;705471
C3947;Europa;Serbia;Snacks;Online;Alta;17/11/2021;394731318;12/12/2021;8624;153;97;1315850;840323
C5565;África;Mauritius ;Doméstico;Offline;Crítica;26/07/2021;556580960;09/09/2021;3529;668;503;2358325;1773464
C4134;África;Liberia;Material de oficina;Offline;Crítica;17/11/2020;413408935;13/12/2020;5745;651;525;3741201;3015895
C7355;Europa;Latvia;Cuidado personal;Offline;Crítica;03/05/2022;735576570;17/05/2022;2308;82;57;188633;130794
C5637;Asia;China;Ropa;Offline;Media;16/09/2021;563757693;01/11/2021;7284;109;36;795996;261059
C3589;Australia y Oceanía;New Zealand;Verduras;Online;Baja;22/11/2020;358938634;09/12/2020;6773;154;91;1043448;615869
C6524;África;Sierra Leone;Snacks;Online;Crítica;03/10/2020;652418220;19/10/2020;3904;153;97;595672;380406
C6958;Europa;Bulgaria;Material de oficina;Online;Crítica;26/07/2022;695807778;06/09/2022;3839;651;525;2499995;2015321
C7110;África;Somalia;Material de oficina;Offline;Crítica;05/11/2020;711031138;07/12/2020;8769;651;525;5710460;4603374
C5403;Europa;Spain;Bebida;Offline;Alta;17/12/2021;540324628;25/01/2022;2919;47;32;138507;92795
C9962;Europa;Cyprus;Cereales;Offline;Media;31/08/2022;996237075;31/08/2022;7544;206;117;1551801;883478
C7116;África;Namibia;Ropa;Online;Media;12/02/2020;711629807;05/03/2020;5929;109;36;647921;212495
C1896;Norteamérica;Greenland;Cereales;Offline;Alta;19/11/2021;189676654;01/01/2022;8392;206;117;1726234;982787
C4538;África;Rwanda;Doméstico;Online;Baja;23/08/2021;453863942;09/09/2021;7281;668;503;4865674;3658994
C7979;Centroamérica y Caribe;The Bahamas;Material de oficina;Offline;Baja;14/08/2020;797990500;22/09/2020;1977;651;525;1287442;1037846
C1361;Europa;Germany;Bebida;Online;Alta;08/06/2020;136167657;21/06/2020;3890;47;32;184581;123663
C1528;Europa;Cyprus;Bebida;Online;Crítica;11/09/2021;152819240;16/10/2021;1464;47;32;69467;46541
C3526;Europa;Luxembourg;Snacks;Online;Crítica;15/07/2022;352681577;25/07/2022;5171;153;97;788991;503862
C3108;Australia y Oceanía;Tuvalu;Cereales;Online;Alta;27/01/2020;310803496;04/03/2020;2516;206;117;517541;294649
C1225;Europa;Bulgaria;Cosméticos;Offline;Baja;26/05/2020;122546327;18/06/2020;3036;437;263;1327339;799470
C8535;Asia;Bangladesh;Frutas;Offline;Alta;04/01/2020;853583896;20/01/2020;3298;9;7;30770;22822
C4899;Centroamérica y Caribe;El Salvador;Cuidado personal;Offline;Alta;04/07/2021;489902532;31/07/2021;1901;82;57;155369;107730
C6878;Asia;China;Verduras;Online;Media;02/10/2020;687801063;06/10/2020;4474;154;91;689264;406821
C9238;Asia;Mongolia;Cárnicos;Online;Media;07/08/2022;923890817;17/08/2022;8678;422;365;3661161;3164780
C7450;Australia y Oceanía;Solomon Islands;Frutas;Offline;Alta;11/04/2022;745095622;27/05/2022;9207;9;7;85901;63712
C2186;África;Mauritania;Cosméticos;Offline;Baja;23/02/2021;218651807;19/03/2021;2783;437;263;1216728;732847
C3821;Asia;South Korea;Verduras;Online;Media;26/05/2022;382108199;13/07/2022;3162;154;91;487138;287521
C9933;Asia;Myanmar;Material de oficina;Online;Baja;17/01/2021;993326127;18/02/2021;6130;651;525;3991917;3218005
C9804;África;Botswana;Cereales;Offline;Baja;07/07/2022;980479419;06/08/2022;4503;206;117;926267;527346
C6920;Europa;Portugal;Snacks;Offline;Crítica;11/03/2021;692054402;20/03/2021;3131;153;97;477728;305085
C5468;Europa;Spain;Verduras;Offline;Crítica;16/11/2021;546849906;11/12/2021;3894;154;91;599910;354081
C5839;África;Cote d'Ivoire;Bebida;Offline;Baja;11/03/2021;583977258;25/04/2021;703;47;32;33357;22348
C9128;Europa;Russia;Alimento infantil;Online;Crítica;13/06/2020;912860286;10/07/2020;4499;255;159;1148505;717231
C3632;Australia y Oceanía;Federated States of Micronesia;Ropa;Offline;Media;15/05/2021;363235318;25/06/2021;8257;109;36;902325;295931
C5351;África;The Gambia;Cárnicos;Offline;Alta;11/10/2021;535151183;24/11/2021;1982;422;365;836186;722816
C8489;Europa;Luxembourg;Frutas;Offline;Alta;07/10/2022;848969209;15/10/2022;7710;9;7;71934;53353
C7953;África;Liberia;Frutas;Offline;Crítica;15/07/2021;795363223;30/08/2021;4507;9;7;42050;31188
C3853;África;Burundi;Cosméticos;Offline;Crítica;01/06/2021;385319554;27/06/2021;3474;437;263;1518833;914808
C6001;África;Syria;Cereales;Offline;Alta;02/11/2021;600137031;15/11/2021;2739;206;117;563412;320764
C2414;Norteamérica;United States of America;Ropa;Offline;Alta;24/08/2022;241426980;24/09/2022;2463;109;36;269157;88274
C8811;Asia;Japan;Alimento infantil;Offline;Baja;24/08/2022;881113231;05/10/2022;9840;255;159;2511955;1568693
C1114;Asia;Laos;Frutas;Offline;Baja;22/01/2021;111432111;14/02/2021;4093;9;7;38188;28324
C9949;Europa;Germany;Verduras;Online;Crítica;14/10/2021;994932448;23/11/2021;1476;154;91;227393;134213
C8144;Norteamérica;Greenland;Cuidado personal;Online;Crítica;23/07/2020;814475572;10/08/2020;276;82;57;22557;15641
C5232;Centroamérica y Caribe;Jamaica;Cárnicos;Offline;Alta;26/08/2020;523235309;20/09/2020;5810;422;365;2451181;2118849
C6946;Europa;Switzerland;Verduras;Online;Media;13/01/2020;694697988;23/02/2020;5427;154;91;836084;493477
C1726;Europa;Sweden;Material de oficina;Online;Media;10/05/2021;172662436;10/06/2021;3507;651;525;2283793;1841035
C1212;África;Liberia;Bebida;Online;Media;15/12/2021;121239984;13/01/2022;6460;47;32;306527;205363
C8748;Australia y Oceanía;Kiribati;Alimento infantil;Offline;Media;02/01/2021;874854457;04/01/2021;7730;255;159;1973314;1232317
C5882;Europa;Malta;Cárnicos;Online;Media;06/12/2020;588242185;10/01/2021;2789;422;365;1176651;1017120
C1864;Asia;Philippines;Cuidado personal;Online;Baja;12/04/2020;186451995;29/05/2020;4144;82;57;338689;234840
C2148;África;Comoros;Alimento infantil;Offline;Baja;08/11/2020;214845216;29/11/2020;6329;255;159;1615667;1008969
C3890;Europa;Liechtenstein;Doméstico;Offline;Baja;29/07/2020;389095675;30/08/2020;912;668;503;609462;458316
C9451;África;Lebanon;Cereales;Online;Baja;15/08/2020;945189702;29/08/2020;1492;206;117;306904;174728
C3894;Norteamérica;Greenland;Cereales;Offline;Crítica;22/02/2021;389426124;05/04/2021;8699;206;117;1789384;1018740
C4484;África;Chad;Cereales;Online;Media;13/09/2022;448416268;15/09/2022;5193;206;117;1068200;608152
C2190;Europa;Macedonia;Doméstico;Offline;Baja;15/12/2021;219083964;05/01/2022;668;668;503;446404;335697
C2186;África;United Arab Emirates;Cosméticos;Offline;Alta;12/09/2021;218665540;19/10/2021;6847;437;263;2993508;1803021
C1347;África;Qatar;Cereales;Offline;Alta;29/10/2020;134709823;25/11/2020;2485;206;117;511165;291018
C1750;África;Iraq;Verduras;Online;Alta;05/07/2021;175078141;05/08/2021;8367;154;91;1289020;760811
C6179;Europa;Kosovo;Material de oficina;Online;Baja;07/01/2022;617944324;04/02/2022;2312;651;525;1505598;1213708
